2019/03/21 14:01:26.616 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:02:46.305 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:02:46.306 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:05:47.022 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:05:47.023 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:09:17.447 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:09:17.447 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:30:20.257 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:30:20.257 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:33:09.623 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:33:09.623 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:34:37.244 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:34:37.244 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:35:43.409 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:35:43.409 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:37:15.511 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:37:15.511 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:38:40.374 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:38:40.375 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:40:50.290 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:40:50.290 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:54:38.538 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:54:38.538 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 14:59:55.934 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 14:59:55.936 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:19:01.066 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:19:01.066 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:19:37.618 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:19:37.618 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:44:34.481 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:44:34.481 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:46:05.876 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:46:05.876 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:48:48.747 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:48:48.747 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:51:53.696 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:51:53.696 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:52:56.642 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:52:56.642 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 17:53:24.365 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 17:53:24.365 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 18:01:58.347 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 18:01:58.347 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 18:04:56.205 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 18:04:56.205 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/03/21 18:05:43.919 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/03/21 18:05:43.919 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
